log_timestamp_verbose,log_timestamp_posix,timestamp_verbose,timestamp_posix,regionalId,intersectionId,msgCount,moy,msom,v1_currState,v1_minEndTime,v1_maxEndTime,v1_elapsedTime,v2_currState,v2_minEndTime,v2_maxEndTime,v2_elapsedTime,v3_currState,v3_minEndTime,v3_maxEndTime,v3_elapsedTime,v4_currState,v4_minEndTime,v4_maxEndTime,v4_elapsedTime,v5_currState,v5_minEndTime,v5_maxEndTime,v5_elapsedTime,v6_currState,v6_minEndTime,v6_maxEndTime,v6_elapsedTime,v7_currState,v7_minEndTime,v7_maxEndTime,v7_elapsedTime,v8_currState,v8_minEndTime,v8_maxEndTime,v8_elapsedTime,p1_currState,p1_minEndTime,p1_maxEndTime,p1_elapsedTime,p2_currState,p2_minEndTime,p2_maxEndTime,p2_elapsedTime,p3_currState,p3_minEndTime,p3_maxEndTime,p3_elapsedTime,p4_currState,p4_minEndTime,p4_maxEndTime,p4_elapsedTime,p5_currState,p5_minEndTime,p5_maxEndTime,p5_elapsedTime,p6_currState,p6_minEndTime,p6_maxEndTime,p6_elapsedTime,p7_currState,p7_minEndTime,p7_maxEndTime,p7_elapsedTime,p8_currState,p8_minEndTime,p8_maxEndTime,p8_elapsedTime
2023-06-14 09:59:26.854829,1686751166.854836,2023-06-14 09:59:26.854397,1686751166.854401,0,2780,1,236999,26853,red,149,149,0.0,red,449,449,0.0,permissive_yellow,0,0,0.0,green,0,0,0.0,red,149,149,0.0,red,449,449,0.0,permissive_yellow,0,0,0.0,green,0,0,0.0,do_not_walk,0,0,0.0,do_not_walk,449,449,0.0,do_not_walk,0,0,0.0,do_not_walk,0,0,0.0,do_not_walk,0,0,0.0,do_not_walk,449,449,0.0,do_not_walk,0,0,0.0,do_not_walk,0,0,0.0,
2023-06-14 09:59:26.954735,1686751166.9547412,2023-06-14 09:59:26.954330,1686751166.954334,0,2780,2,236999,26953,red,148,148,1,red,448,448,1,permissive_yellow,0,0,1,green,0,0,1,red,148,148,1,red,448,448,1,permissive_yellow,0,0,1,green,0,0,1,do_not_walk,0,0,1,do_not_walk,448,448,1,do_not_walk,0,0,1,do_not_walk,0,0,1,do_not_walk,0,0,1,do_not_walk,448,448,1,do_not_walk,0,0,1,do_not_walk,0,0,1,
2023-06-14 09:59:27.054666,1686751167.054671,2023-06-14 09:59:27.054284,1686751167.054288,0,2780,3,236999,27053,red,147,147,2,red,447,447,2,permissive_yellow,0,0,2,green,0,0,2,red,147,147,2,red,447,447,2,permissive_yellow,0,0,2,green,0,0,2,do_not_walk,0,0,2,do_not_walk,447,447,2,do_not_walk,0,0,2,do_not_walk,0,0,2,do_not_walk,0,0,2,do_not_walk,447,447,2,do_not_walk,0,0,2,do_not_walk,0,0,2,
2023-06-14 09:59:27.154703,1686751167.154709,2023-06-14 09:59:27.154314,1686751167.154317,0,2780,4,236999,27153,red,146,146,3,red,446,446,3,permissive_yellow,0,0,3,green,0,0,3,red,146,146,3,red,446,446,3,permissive_yellow,0,0,3,green,0,0,3,do_not_walk,0,0,3,do_not_walk,446,446,3,do_not_walk,0,0,3,do_not_walk,0,0,3,do_not_walk,0,0,3,do_not_walk,446,446,3,do_not_walk,0,0,3,do_not_walk,0,0,3,
2023-06-14 09:59:27.255736,1686751167.2557406,2023-06-14 09:59:27.255343,1686751167.255346,0,2780,5,236999,27254,red,145,145,4,red,445,445,4,permissive_yellow,0,0,4,green,0,0,4,red,145,145,4,red,445,445,4,permissive_yellow,0,0,4,green,0,0,4,do_not_walk,0,0,4,do_not_walk,445,445,4,do_not_walk,0,0,4,do_not_walk,0,0,4,do_not_walk,0,0,4,do_not_walk,445,445,4,do_not_walk,0,0,4,do_not_walk,0,0,4,
2023-06-14 09:59:27.354719,1686751167.3547237,2023-06-14 09:59:27.354325,1686751167.354329,0,2780,6,236999,27353,red,144,144,5,red,444,444,5,permissive_yellow,0,0,5,green,0,0,5,red,144,144,5,red,444,444,5,permissive_yellow,0,0,5,green,0,0,5,do_not_walk,0,0,5,do_not_walk,444,444,5,do_not_walk,0,0,5,do_not_walk,0,0,5,do_not_walk,0,0,5,do_not_walk,444,444,5,do_not_walk,0,0,5,do_not_walk,0,0,5,
2023-06-14 09:59:27.454661,1686751167.454666,2023-06-14 09:59:27.454253,1686751167.454257,0,2780,7,236999,27453,red,143,143,6,red,443,443,6,permissive_yellow,0,0,6,green,0,0,6,red,143,143,6,red,443,443,6,permissive_yellow,0,0,6,green,0,0,6,do_not_walk,0,0,6,do_not_walk,443,443,6,do_not_walk,0,0,6,do_not_walk,0,0,6,do_not_walk,0,0,6,do_not_walk,443,443,6,do_not_walk,0,0,6,do_not_walk,0,0,6,
2023-06-14 09:59:27.554654,1686751167.5546587,2023-06-14 09:59:27.554259,1686751167.554264,0,2780,8,236999,27553,red,142,142,7,red,442,442,7,permissive_yellow,0,0,7,green,0,0,7,red,142,142,7,red,442,442,7,permissive_yellow,0,0,7,green,0,0,7,do_not_walk,0,0,7,do_not_walk,442,442,7,do_not_walk,0,0,7,do_not_walk,0,0,7,do_not_walk,0,0,7,do_not_walk,442,442,7,do_not_walk,0,0,7,do_not_walk,0,0,7,
2023-06-14 09:59:27.654723,1686751167.6547298,2023-06-14 09:59:27.654314,1686751167.654318,0,2780,9,236999,27653,red,141,141,8,red,441,441,8,permissive_yellow,0,0,8,green,0,0,8,red,141,141,8,red,441,441,8,permissive_yellow,0,0,8,green,0,0,8,do_not_walk,0,0,8,do_not_walk,441,441,8,do_not_walk,0,0,8,do_not_walk,0,0,8,do_not_walk,0,0,8,do_not_walk,441,441,8,do_not_walk,0,0,8,do_not_walk,0,0,8,
2023-06-14 09:59:27.754826,1686751167.754833,2023-06-14 09:59:27.754386,1686751167.754391,0,2780,10,236999,27753,red,140,140,9,red,440,440,9,permissive_yellow,0,0,9,green,0,0,9,red,140,140,9,red,440,440,9,permissive_yellow,0,0,9,green,0,0,9,do_not_walk,0,0,9,do_not_walk,440,440,9,do_not_walk,0,0,9,do_not_walk,0,0,9,do_not_walk,0,0,9,do_not_walk,440,440,9,do_not_walk,0,0,9,do_not_walk,0,0,9,
