log_timestamp_verbose,log_timestamp_posix,timestamp_verbose,timestamp_posix,temporaryId,secMark,latitude,longitude,elevation,speed,heading,type,length,width,onmap_status,position_on_map,current_approach,current_lane,current_signal_group,dist_to_stopbar
2023-10-08 16:16:36.652955,1696796196.6529753,2023-10-08 20:16:36.651,1696796196.651806,-632621188,36.602,40.4383262,-86.9187763,178.5,3.0,157.0,0,314,159,True,inbound,3,5,2,61.51
2023-10-08 16:16:36.844174,1696796196.8441916,2023-10-08 20:16:36.843,1696796196.84325,-632621188,36.794,40.4383205,-86.9187737,178.4,3.0,161.0,0,314,159,True,inbound,3,5,2,60.84
2023-10-08 16:16:37.036979,1696796197.0370038,2023-10-08 20:16:37.35,1696796197.035994,-632621188,36.986,40.4383147,-86.9187715,178.4,4.0,164.0,0,314,159,True,inbound,3,5,2,60.18
2023-10-08 16:16:37.241943,1696796197.2419605,2023-10-08 20:16:37.241,1696796197.241041,-632621188,37.191,40.4383058,-86.9187677,178.3,4.0,166.0,0,314,159,True,inbound,3,5,2,59.14
2023-10-08 16:16:37.439290,1696796197.439306,2023-10-08 20:16:37.438,1696796197.438399,-632621188,37.389,40.438299,-86.9187655,178.3,4.0,167.0,0,314,159,True,inbound,3,5,2,58.36
2023-10-08 16:16:37.636960,1696796197.6369777,2023-10-08 20:16:37.636,1696796197.636036,-632621188,37.586,40.4382897,-86.918762,178.2,4.0,167.0,0,314,159,True,inbound,3,5,2,57.28
2023-10-08 16:16:37.833324,1696796197.8333416,2023-10-08 20:16:37.832,1696796197.83242,-632621188,37.783,40.4382824,-86.9187598,178.2,4.0,168.0,0,314,159,True,inbound,3,5,2,56.45
2023-10-08 16:16:38.029796,1696796198.0298147,2023-10-08 20:16:38.28,1696796198.028834,-632621188,37.98,40.4382748,-86.9187575,178.2,4.0,168.0,0,314,159,True,inbound,3,5,2,55.58
2023-10-08 16:16:38.230231,1696796198.2302477,2023-10-08 20:16:38.229,1696796198.229286,-632621188,38.179,40.4382647,-86.918754,178.1,5.0,167.0,0,314,159,True,inbound,3,5,2,54.42
2023-10-08 16:16:38.436486,1696796198.4365025,2023-10-08 20:16:38.435,1696796198.435487,-632621188,38.387,40.4382561,-86.9187514,178.0,5.0,167.0,0,314,159,True,inbound,3,5,2,53.45
