log_timestamp_verbose,log_timestamp_posix,timestamp_verbose,timestamp_posix,interval_sec,msg_source,msg_type,msg_count,msg_served,msg_rejected
2023-10-08 16:17:25.027568,1696796245.0275574,2023-10-08 20:17:25.27,1696796245.027317,300.0,Purdue-stadium,RemoteBSM,1504,NA,NA
2023-10-08 16:17:25.057868,1696796245.0578575,2023-10-08 20:17:25.57,1696796245.0574,300.0,Purdue-stadium,SSM,0,NA,NA
2023-10-08 16:17:25.057968,1696796245.0579646,2023-10-08 20:17:25.57,1696796245.057757,300.0,Purdue-stadium,MAP,299,NA,NA
2023-10-08 16:17:25.058026,1696796245.0580232,2023-10-08 20:17:25.57,1696796245.057872,300.0,Purdue-stadium,SPaT,2995,NA,NA
2023-10-08 16:17:25.097581,1696796245.0975678,2023-10-08 20:17:25.97,1696796245.097128,300.0,Purdue-stadium,SRM,0,0,0
