log_timestamp_verbose,log_timestamp_posix,timestamp_verbose,timestamp_posix,interval_sec,msg_source,msg_type,msg_count,msg_served,msg_rejected
2023-06-14 10:04:40.065454,1686751480.0654511,2023-06-14 14:04:40.65,1686751480.065265,300.0,mcity-main,SSM,66,NA,NA
2023-06-14 10:04:40.065487,1686751480.065487,2023-06-14 14:04:40.65,1686751480.065388,300.0,mcity-main,MAP,298,NA,NA
2023-06-14 10:04:40.065500,1686751480.0655,2023-06-14 14:04:40.65,1686751480.065423,300.0,mcity-main,SPaT,2990,NA,NA
2023-06-14 10:04:40.563221,1686751480.563221,2023-06-14 14:04:40.563,1686751480.563084,300.0,mcity-main,RemoteBSM,1044,NA,NA
2023-06-14 10:04:41.569028,1686751481.5690258,2023-06-14 14:04:41.568,1686751481.568874,300.0,mcity-main,SRM,16,16,0
2023-06-14 10:09:40.074963,1686751780.074961,2023-06-14 14:09:40.74,1686751780.074826,300.0,mcity-main,SSM,290,NA,NA
2023-06-14 10:09:40.074995,1686751780.0749948,2023-06-14 14:09:40.74,1686751780.074882,300.0,mcity-main,MAP,300,NA,NA
2023-06-14 10:09:40.075008,1686751780.0750082,2023-06-14 14:09:40.74,1686751780.074917,300.0,mcity-main,SPaT,3000,NA,NA
2023-06-14 10:09:42.426205,1686751782.4262042,2023-06-14 14:09:42.426,1686751782.42606,300.0,mcity-main,RemoteBSM,0,NA,NA
2023-06-14 10:09:43.457046,1686751783.4570432,2023-06-14 14:09:43.456,1686751783.456918,300.0,mcity-main,SRM,71,71,0
2023-06-14 10:14:40.084541,1686752080.0845385,2023-06-14 14:14:40.84,1686752080.084405,300.0,mcity-main,SSM,282,NA,NA
2023-06-14 10:14:40.084575,1686752080.0845747,2023-06-14 14:14:40.84,1686752080.084461,300.0,mcity-main,MAP,300,NA,NA
2023-06-14 10:14:40.084588,1686752080.084588,2023-06-14 14:14:40.84,1686752080.084495,300.0,mcity-main,SPaT,3000,NA,NA
2023-06-14 10:14:44.257102,1686752084.2570972,2023-06-14 14:14:44.256,1686752084.256857,300.0,mcity-main,SRM,70,70,0
2023-06-14 10:14:45.246735,1686752085.2467341,2023-06-14 14:14:45.246,1686752085.246527,300.0,mcity-main,RemoteBSM,0,NA,NA
2023-06-14 10:19:40.033356,1686752380.0333538,2023-06-14 14:19:40.33,1686752380.033267,300.0,mcity-main,SSM,279,NA,NA
2023-06-14 10:19:40.033385,1686752380.0333848,2023-06-14 14:19:40.33,1686752380.033317,300.0,mcity-main,MAP,300,NA,NA
2023-06-14 10:19:40.033398,1686752380.0333984,2023-06-14 14:19:40.33,1686752380.033351,300.0,mcity-main,SPaT,2999,NA,NA
2023-06-14 10:19:45.121054,1686752385.1210508,2023-06-14 14:19:45.120,1686752385.120903,300.0,mcity-main,SRM,71,71,0
2023-06-14 10:19:47.113618,1686752387.1136174,2023-06-14 14:19:47.113,1686752387.113473,300.0,mcity-main,RemoteBSM,0,NA,NA
2023-06-14 10:24:40.003549,1686752680.003547,2023-06-14 14:24:40.3,1686752680.003419,300.0,mcity-main,SSM,290,NA,NA
2023-06-14 10:24:40.003579,1686752680.003579,2023-06-14 14:24:40.3,1686752680.003468,300.0,mcity-main,MAP,300,NA,NA
2023-06-14 10:24:40.003593,1686752680.0035925,2023-06-14 14:24:40.3,1686752680.003502,300.0,mcity-main,SPaT,3000,NA,NA
