log_timestamp_verbose,log_timestamp_posix,timestamp_verbose,timestamp_posix,minuteOfYear,msOfMinute,msgCount,regionalID,intersectionID,priorityRequestType,basicVehicleRole,laneID,eTA_Minute,eTA_Second,eTA_Duration,vehicleID,latitude,longitude,elevation,heading,speed
2023-06-14 10:03:34.405015,1686751414.40502,2023-06-14 14:03:34.404,1686751414.404746,38897,51000,1,0,2780,1,16,4,38897,53000,4000,939524096,42.3006915,-83.6985959,23.9,2.0,6.0,
2023-06-14 10:03:41.807656,1686751421.807661,2023-06-14 14:03:41.807,1686751421.80744,38897,58000,3,0,2780,1,16,5,38898,7314,4000,939524096,42.3000426,-83.698569,23.9,350.0,9.0,
2023-06-14 10:03:45.852293,1686751425.852299,2023-06-14 14:03:45.852,1686751425.852091,38898,2000,5,0,2780,2,16,4,38898,7446,4000,939524096,42.300349,-83.6985962,23.9,358.0,9.0,
2023-06-14 10:03:49.905275,1686751429.9052823,2023-06-14 14:03:49.905,1686751429.905148,38898,6000,7,0,2780,2,16,4,38898,10000,4000,939524096,42.3006033,-83.6985991,23.9,1.0,3.0,
2023-06-14 10:03:53.956485,1686751433.9564912,2023-06-14 14:03:53.956,1686751433.956347,38898,10000,9,0,2780,2,16,4,38898,14000,4000,939524096,42.3006235,-83.6985984,23.9,1.0,0.0,
2023-06-14 10:03:58.001086,1686751438.0011046,2023-06-14 14:03:58.0,1686751438.000844,38898,14000,11,0,2780,2,16,4,38898,18000,4000,939524096,42.3006235,-83.6985984,23.9,1.0,0.0,
2023-06-14 10:04:02.056227,1686751442.056252,2023-06-14 14:04:02.55,1686751442.055969,38898,18000,13,0,2780,2,16,4,38898,22000,4000,939524096,42.3006235,-83.6985984,23.9,1.0,0.0,
2023-06-14 10:04:06.105074,1686751446.105083,2023-06-14 14:04:06.104,1686751446.104778,38898,22000,15,0,2780,2,16,4,38898,26000,4000,939524096,42.3006235,-83.6985984,23.9,1.0,0.0,
2023-06-14 10:04:10.158305,1686751450.1583161,2023-06-14 14:04:10.158,1686751450.158064,38898,26000,17,0,2780,2,16,4,38898,30000,4000,939524096,42.3006235,-83.6985984,23.9,1.0,0.0,
2023-06-14 10:04:14.203696,1686751454.203707,2023-06-14 14:04:14.203,1686751454.203459,38898,30000,19,0,2780,2,16,4,38898,34000,4000,939524096,42.3006235,-83.6985984,23.9,1.0,0.0,
