log_timestamp_verbose,log_timestamp_posix,timestamp_verbose,timestamp_posix,minuteOfYear,msOfMinute,msgCount,regionalID,intersectionID,priorityRequestType,basicVehicleRole,laneID,eTA_Minute,eTA_Second,eTA_Duration,vehicleID,latitude,longitude,elevation,heading,speed
2023-06-14 15:52:05.674026,1686772325.6740348,2023-06-14 19:52:05.673,1686772325.673735,39246,22000,38,0,2780,1,16,4,39246,26000,4000,939524096,42.3006033,-83.6985991,23.9,1.0,3.0,
2023-06-14 15:52:09.726161,1686772329.7261732,2023-06-14 19:52:09.725,1686772329.725996,39246,26000,40,0,2780,2,16,4,39246,30000,4000,939524096,42.3006235,-83.6985984,23.9,1.0,0.0,
2023-06-14 15:52:13.773666,1686772333.7736716,2023-06-14 19:52:13.773,1686772333.773552,39246,30000,42,0,2780,2,16,4,39246,34000,4000,939524096,42.3006235,-83.6985984,23.9,1.0,0.0,
2023-06-14 15:52:17.826235,1686772337.826241,2023-06-14 19:52:17.826,1686772337.826034,39246,34000,44,0,2780,2,16,4,39246,38000,4000,939524096,42.3006235,-83.6985984,23.9,1.0,0.0,
2023-06-14 15:52:21.878415,1686772341.8784208,2023-06-14 19:52:21.878,1686772341.878176,39246,38000,46,0,2780,2,16,4,39246,42000,4000,939524096,42.3006235,-83.6985984,23.9,1.0,0.0,
2023-06-14 15:52:25.935070,1686772345.9350748,2023-06-14 19:52:25.934,1686772345.934894,39246,42000,48,0,2780,2,16,4,39246,46000,4000,939524096,42.3006235,-83.6985984,23.9,1.0,0.0,
2023-06-14 15:52:29.979800,1686772349.9798055,2023-06-14 19:52:29.979,1686772349.979607,39246,46000,50,0,2780,2,16,4,39246,50000,4000,939524096,42.3006235,-83.6985984,23.9,1.0,0.0,
2023-06-14 15:52:34.032746,1686772354.0327568,2023-06-14 19:52:34.32,1686772354.032547,39246,50000,52,0,2780,2,16,4,39246,54000,4000,939524096,42.3006235,-83.6985984,23.9,1.0,0.0,
2023-06-14 15:52:38.084614,1686772358.0846195,2023-06-14 19:52:38.84,1686772358.084421,39246,54000,54,0,2780,2,16,4,39246,58000,4000,939524096,42.3006235,-83.6985984,23.9,1.0,0.0,
2023-06-14 15:52:42.139433,1686772362.1394386,2023-06-14 19:52:42.139,1686772362.139224,39246,58000,56,0,2780,2,16,4,39247,2000,4000,939524096,42.3006235,-83.6985984,23.9,1.0,0.0,
2023-06-14 15:52:46.191543,1686772366.1915483,2023-06-14 19:52:46.191,1686772366.19138,39247,2000,58,0,2780,2,16,4,39247,6000,4000,939524096,42.3006235,-83.6985984,23.9,1.0,0.0,
2023-06-14 15:52:50.255006,1686772370.2550159,2023-06-14 19:52:50.254,1686772370.254808,39247,6000,60,0,2780,2,16,4,39247,10000,4000,939524096,42.3006235,-83.6985984,23.9,1.0,0.0,
2023-06-14 15:52:54.305225,1686772374.3052304,2023-06-14 19:52:54.305,1686772374.305105,39247,10000,62,0,2780,2,16,4,39247,14000,4000,939524096,42.3006235,-83.6985984,23.9,1.0,0.0,
2023-06-14 15:52:58.360012,1686772378.3600183,2023-06-14 19:52:58.359,1686772378.359899,39247,15000,64,0,2780,2,16,4,39247,19000,4000,939524096,42.3006235,-83.6985984,23.9,1.0,0.0,
2023-06-14 15:53:02.417294,1686772382.4173005,2023-06-14 19:53:02.417,1686772382.417096,39247,19000,66,0,2780,2,16,4,39247,23000,4000,939524096,42.3006235,-83.6985984,23.9,1.0,0.0,
2023-06-14 15:53:06.468241,1686772386.4682486,2023-06-14 19:53:06.468,1686772386.46806,39247,23000,68,0,2780,2,16,4,39247,27000,4000,939524096,42.3006235,-83.6985984,23.9,1.0,0.0,
2023-06-14 15:53:10.522959,1686772390.5229678,2023-06-14 19:53:10.522,1686772390.522758,39247,27000,70,0,2780,2,16,4,39247,31000,4000,939524096,42.3006235,-83.6985984,23.9,1.0,0.0,
2023-06-14 15:53:14.571875,1686772394.5719025,2023-06-14 19:53:14.571,1686772394.571756,39247,31000,72,0,2780,2,16,4,39247,35000,4000,939524096,42.3006312,-83.6985982,23.9,1.0,2.0,
2023-06-14 15:53:17.919675,1686772397.9196813,2023-06-14 19:53:17.919,1686772397.919492,39247,34000,74,0,2780,3,16,1,39247,36000,4000,939524096,42.3007965,-83.6985924,23.9,1.0,8.0,
2023-06-14 15:53:25.728417,1686772405.7284238,2023-06-14 19:53:25.728,1686772405.728175,39247,42000,76,0,2780,1,16,4,39247,49336,4000,939524096,42.3001962,-83.6985865,23.9,359.0,9.0,
2023-06-14 15:53:29.777958,1686772409.7779667,2023-06-14 19:53:29.777,1686772409.777759,39247,46000,78,0,2780,2,16,4,39247,50005,4000,939524096,42.300502,-83.6986019,23.9,0.0,8.0,
2023-06-14 15:53:33.825489,1686772413.8254952,2023-06-14 19:53:33.825,1686772413.825289,39247,50000,80,0,2780,2,16,4,39247,54000,4000,939524096,42.3006231,-83.6985984,23.9,1.0,0.0,
2023-06-14 15:53:37.876331,1686772417.876337,2023-06-14 19:53:37.876,1686772417.876188,39247,54000,82,0,2780,2,16,4,39247,58000,4000,939524096,42.3006235,-83.6985984,23.9,1.0,0.0,
2023-06-14 15:53:41.933774,1686772421.9337797,2023-06-14 19:53:41.933,1686772421.933607,39247,58000,84,0,2780,2,16,4,39248,2000,4000,939524096,42.3006235,-83.6985984,23.9,1.0,0.0,
2023-06-14 15:53:45.984196,1686772425.9842017,2023-06-14 19:53:45.984,1686772425.984082,39248,2000,86,0,2780,2,16,4,39248,6000,4000,939524096,42.3006235,-83.6985984,23.9,1.0,0.0,
2023-06-14 15:53:50.043023,1686772430.043029,2023-06-14 19:53:50.42,1686772430.042877,39248,6000,88,0,2780,2,16,4,39248,10000,4000,939524096,42.3006235,-83.6985984,23.9,1.0,0.0,
