log_timestamp_verbose,log_timestamp_posix,timestamp_verbose,timestamp_posix,interval_sec,msg_source,msg_type,msg_count,msg_served,msg_rejected
2023-05-10 11:22:01.054463,1683732121.054461,2023-05-10 15:22:01.54,1683732121.054242,300.0,mcity-main,SSM,279,NA,NA
2023-05-10 11:22:01.054495,1683732121.0544949,2023-05-10 15:22:01.54,1683732121.054375,300.0,mcity-main,MAP,298,NA,NA
2023-05-10 11:22:01.054509,1683732121.0545082,2023-05-10 15:22:01.54,1683732121.054411,300.0,mcity-main,SPaT,2989,NA,NA
2023-05-10 11:22:02.263055,1683732122.2630527,2023-05-10 15:22:02.262,1683732122.26291,300.0,mcity-main,SRM,71,71,0
2023-05-10 11:22:03.254267,1683732123.254266,2023-05-10 15:22:03.254,1683732123.254221,300.0,mcity-main,RemoteBSM,0,NA,NA
2023-05-10 11:27:01.058786,1683732421.0587835,2023-05-10 15:27:01.58,1683732421.058651,300.0,mcity-main,SSM,290,NA,NA
2023-05-10 11:27:01.058837,1683732421.058836,2023-05-10 15:27:01.58,1683732421.058707,300.0,mcity-main,MAP,300,NA,NA
2023-05-10 11:27:01.058856,1683732421.0588558,2023-05-10 15:27:01.58,1683732421.058741,300.0,mcity-main,SPaT,3000,NA,NA
2023-05-10 11:27:03.095113,1683732423.0951104,2023-05-10 15:27:03.94,1683732423.09491,300.0,mcity-main,SRM,72,72,0
2023-05-10 11:27:09.184308,1683732429.1843078,2023-05-10 15:27:09.184,1683732429.184182,300.0,mcity-main,RemoteBSM,0,NA,NA
2023-05-10 11:32:01.063135,1683732721.063133,2023-05-10 15:32:01.62,1683732721.062993,300.0,mcity-main,SSM,285,NA,NA
2023-05-10 11:32:01.063163,1683732721.0631626,2023-05-10 15:32:01.63,1683732721.063048,300.0,mcity-main,MAP,300,NA,NA
2023-05-10 11:32:01.063176,1683732721.0631757,2023-05-10 15:32:01.63,1683732721.063082,300.0,mcity-main,SPaT,3000,NA,NA
2023-05-10 11:32:03.959249,1683732723.9592242,2023-05-10 15:32:03.958,1683732723.958889,300.0,mcity-main,SRM,71,71,0
2023-05-10 11:32:10.016736,1683732730.0167358,2023-05-10 15:32:10.16,1683732730.016583,300.0,mcity-main,RemoteBSM,0,NA,NA
2023-05-10 11:37:01.067624,1683733021.0676217,2023-05-10 15:37:01.67,1683733021.0675,300.0,mcity-main,SSM,290,NA,NA
2023-05-10 11:37:01.067655,1683733021.0676546,2023-05-10 15:37:01.67,1683733021.067555,300.0,mcity-main,MAP,300,NA,NA
2023-05-10 11:37:01.067668,1683733021.067668,2023-05-10 15:37:01.67,1683733021.067589,300.0,mcity-main,SPaT,3000,NA,NA
2023-05-10 11:37:05.783093,1683733025.7830908,2023-05-10 15:37:05.782,1683733025.782952,300.0,mcity-main,SRM,72,72,0
2023-05-10 11:37:11.845059,1683733031.8450582,2023-05-10 15:37:11.844,1683733031.844917,300.0,mcity-main,RemoteBSM,0,NA,NA
