log_timestamp_verbose,log_timestamp_posix,timestamp_verbose,timestamp_posix,minuteOfYear,msOfMinute,msgCount,regionalID,intersectionID,priorityRequestType,basicVehicleRole,laneID,eTA_Minute,eTA_Second,eTA_Duration,vehicleID,latitude,longitude,elevation,heading,speed
2023-05-10 11:17:06.420505,1683731826.4205189,2023-05-10 15:17:06.420,1683731826.420114,47589,36000,1,0,2780,1,16,5,0,9,4,939524096,42.3000426,-83.698569,23.9,350.0,9.0,
2023-05-10 11:17:10.475097,1683731830.475104,2023-05-10 15:17:10.474,1683731830.47494,47589,40000,3,0,2780,2,16,4,0,5,4,939524096,42.300349,-83.6985962,23.9,358.0,9.0,
2023-05-10 11:17:14.521424,1683731834.5214396,2023-05-10 15:17:14.521,1683731834.521166,47589,44000,5,0,2780,2,16,4,0,4,4,939524096,42.3006033,-83.6985991,23.9,1.0,3.0,
2023-05-10 11:17:18.581257,1683731838.5812645,2023-05-10 15:17:18.581,1683731838.58101,47589,48000,7,0,2780,2,16,4,0,4,4,939524096,42.3006235,-83.6985984,23.9,1.0,0.0,
2023-05-10 11:17:22.625037,1683731842.6250484,2023-05-10 15:17:22.624,1683731842.624836,47589,52000,9,0,2780,2,16,4,0,4,4,939524096,42.3006235,-83.6985984,23.9,1.0,0.0,
2023-05-10 11:17:26.688636,1683731846.6886475,2023-05-10 15:17:26.688,1683731846.688385,47589,56000,11,0,2780,2,16,4,0,4,4,939524096,42.3006235,-83.6985984,23.9,1.0,0.0,
2023-05-10 11:17:30.736318,1683731850.7363257,2023-05-10 15:17:30.736,1683731850.7361,47590,0,13,0,2780,2,16,4,0,4,4,939524096,42.3006235,-83.6985984,23.9,1.0,0.0,
2023-05-10 11:17:34.789194,1683731854.7892022,2023-05-10 15:17:34.788,1683731854.78897,47590,4000,15,0,2780,2,16,4,0,4,4,939524096,42.3006235,-83.6985984,23.9,1.0,0.0,
2023-05-10 11:17:38.838313,1683731858.8383222,2023-05-10 15:17:38.838,1683731858.838097,47590,8000,17,0,2780,2,16,4,0,4,4,939524096,42.3006235,-83.6985984,23.9,1.0,0.0,
2023-05-10 11:17:42.891612,1683731862.8916233,2023-05-10 15:17:42.891,1683731862.891386,47590,12000,19,0,2780,2,16,4,0,4,4,939524096,42.3006235,-83.6985984,23.9,1.0,0.0,
2023-05-10 11:17:46.943069,1683731866.94308,2023-05-10 15:17:46.942,1683731866.942843,47590,16000,21,0,2780,2,16,4,0,4,4,939524096,42.3006235,-83.6985984,23.9,1.0,0.0,
2023-05-10 11:17:50.997021,1683731870.9970298,2023-05-10 15:17:50.996,1683731870.996882,47590,20000,23,0,2780,2,16,4,0,4,4,939524096,42.3006235,-83.6985984,23.9,1.0,0.0,
2023-05-10 11:17:55.040832,1683731875.0408428,2023-05-10 15:17:55.40,1683731875.040566,47590,24000,25,0,2780,2,16,4,0,4,4,939524096,42.3006235,-83.6985984,23.9,1.0,0.0,
2023-05-10 11:17:59.095881,1683731879.0958908,2023-05-10 15:17:59.95,1683731879.095636,47590,28000,27,0,2780,2,16,4,0,4,4,939524096,42.3006235,-83.6985984,23.9,1.0,0.0,
2023-05-10 11:18:03.143447,1683731883.1434584,2023-05-10 15:18:03.143,1683731883.143207,47590,32000,29,0,2780,2,16,4,0,4,4,939524096,42.3006235,-83.6985984,23.9,1.0,0.0,
2023-05-10 11:18:07.198098,1683731887.1981058,2023-05-10 15:18:07.197,1683731887.197903,47590,36000,31,0,2780,2,16,4,0,4,4,939524096,42.3006235,-83.6985984,23.9,1.0,0.0,
2023-05-10 11:18:11.250058,1683731891.2500699,2023-05-10 15:18:11.249,1683731891.249834,47590,40000,33,0,2780,2,16,4,0,4,4,939524096,42.3006235,-83.6985984,23.9,1.0,0.0,
2023-05-10 11:18:15.300927,1683731895.3009336,2023-05-10 15:18:15.300,1683731895.300738,47590,44000,35,0,2780,2,16,4,0,4,4,939524096,42.3006235,-83.6985984,23.9,1.0,0.0,
