log_timestamp_verbose,log_timestamp_posix,timestamp_verbose,timestamp_posix,minuteOfYear,msOfMinute,msgCount,regionalID,intersectionID,priorityRequestType,basicVehicleRole,laneID,eTA_Minute,eTA_Second,eTA_Duration,vehicleID,latitude,longitude,elevation,heading,speed
2023-05-10 13:26:29.152721,1683739589.1527321,2023-05-10 17:26:29.152,1683739589.152374,185366,27000,117,0,2780,1,16,5,0,9,4,939524096,42.3000426,-83.698569,23.9,350.0,9.0,
2023-05-10 13:26:33.197140,1683739593.1971462,2023-05-10 17:26:33.196,1683739593.196943,185366,31000,119,0,2780,2,16,4,0,5,4,939524096,42.300349,-83.6985962,23.9,358.0,9.0,
2023-05-10 13:26:37.250302,1683739597.2503142,2023-05-10 17:26:37.249,1683739597.250001,185366,35000,121,0,2780,2,16,4,0,4,4,939524096,42.3006033,-83.6985991,23.9,1.0,3.0,
2023-05-10 13:26:41.306841,1683739601.306849,2023-05-10 17:26:41.306,1683739601.306589,185366,39000,123,0,2780,2,16,4,0,4,4,939524096,42.3006235,-83.6985984,23.9,1.0,0.0,
2023-05-10 13:26:45.351447,1683739605.3514569,2023-05-10 17:26:45.351,1683739605.351215,185366,43000,125,0,2780,2,16,4,0,4,4,939524096,42.3006235,-83.6985984,23.9,1.0,0.0,
2023-05-10 13:26:49.405843,1683739609.405853,2023-05-10 17:26:49.405,1683739609.405628,185366,48000,127,0,2780,2,16,4,0,4,4,939524096,42.3006235,-83.6985984,23.9,1.0,0.0,
2023-05-10 13:26:53.459192,1683739613.4592016,2023-05-10 17:26:53.458,1683739613.458966,185366,52000,2,0,2780,2,16,4,0,4,4,939524096,42.3006235,-83.6985984,23.9,1.0,0.0,
2023-05-10 13:26:57.509228,1683739617.509237,2023-05-10 17:26:57.509,1683739617.509035,185366,56000,4,0,2780,2,16,4,0,4,4,939524096,42.3006235,-83.6985984,23.9,1.0,0.0,
2023-05-10 13:27:01.559531,1683739621.5595396,2023-05-10 17:27:01.559,1683739621.559346,185367,0,6,0,2780,2,16,4,0,4,4,939524096,42.3006235,-83.6985984,23.9,1.0,0.0,
2023-05-10 13:27:05.611550,1683739625.6115596,2023-05-10 17:27:05.611,1683739625.611359,185367,4000,8,0,2780,2,16,4,0,4,4,939524096,42.3006235,-83.6985984,23.9,1.0,0.0,
2023-05-10 13:27:09.661892,1683739629.6619027,2023-05-10 17:27:09.661,1683739629.661663,185367,8000,10,0,2780,2,16,4,0,4,4,939524096,42.3006235,-83.6985984,23.9,1.0,0.0,
2023-05-10 13:27:13.717837,1683739633.7178457,2023-05-10 17:27:13.717,1683739633.717624,185367,12000,12,0,2780,2,16,4,0,4,4,939524096,42.3006235,-83.6985984,23.9,1.0,0.0,
2023-05-10 13:27:17.779700,1683739637.7797055,2023-05-10 17:27:17.779,1683739637.779488,185367,16000,14,0,2780,2,16,4,0,4,4,939524096,42.3006235,-83.6985984,23.9,1.0,0.0,
2023-05-10 13:27:21.827344,1683739641.8273582,2023-05-10 17:27:21.827,1683739641.827089,185367,20000,16,0,2780,2,16,4,0,4,4,939524096,42.3006235,-83.6985984,23.9,1.0,0.0,
2023-05-10 13:27:25.884576,1683739645.884582,2023-05-10 17:27:25.884,1683739645.884383,185367,24000,18,0,2780,2,16,4,0,4,4,939524096,42.3006235,-83.6985984,23.9,1.0,0.0,
2023-05-10 13:27:29.927360,1683739649.9273698,2023-05-10 17:27:29.927,1683739649.927123,185367,28000,20,0,2780,2,16,4,0,4,4,939524096,42.3006235,-83.6985984,23.9,1.0,0.0,
2023-05-10 13:27:33.970742,1683739653.970747,2023-05-10 17:27:33.970,1683739653.970513,185367,32000,22,0,2780,2,16,4,0,4,4,939524096,42.3006235,-83.6985984,23.9,1.0,0.0,
