log_timestamp_verbose,log_timestamp_posix,timestamp_verbose,timestamp_posix,interval_sec,msg_source,msg_type,msg_count,msg_served,msg_rejected
2023-10-03 15:07:19.017367,1696360039.0173647,2023-10-03 19:07:19.17,1696360039.017148,300.0,mcity-main,SSM,0,NA,NA
2023-10-03 15:07:19.017401,1696360039.0174003,2023-10-03 19:07:19.17,1696360039.017287,300.0,mcity-main,MAP,299,NA,NA
2023-10-03 15:07:19.017414,1696360039.0174136,2023-10-03 19:07:19.17,1696360039.017323,300.0,mcity-main,SPaT,2997,NA,NA
2023-10-03 15:07:19.072116,1696360039.0721142,2023-10-03 19:07:19.71,1696360039.071963,300.0,mcity-main,RemoteBSM,1507,NA,NA
2023-10-03 15:07:19.195287,1696360039.1952841,2023-10-03 19:07:19.195,1696360039.195082,300.0,mcity-main,SRM,0,0,0
2023-10-03 15:12:19.018098,1696360339.018091,2023-10-03 19:12:19.17,1696360339.017925,300.0,mcity-main,RemoteBSM,1506,NA,NA
2023-10-03 15:12:19.022015,1696360339.0220127,2023-10-03 19:12:19.21,1696360339.021878,300.0,mcity-main,SSM,0,NA,NA
2023-10-03 15:12:19.022043,1696360339.0220432,2023-10-03 19:12:19.21,1696360339.021928,300.0,mcity-main,MAP,300,NA,NA
2023-10-03 15:12:19.022057,1696360339.0220568,2023-10-03 19:12:19.21,1696360339.021962,300.0,mcity-main,SPaT,3000,NA,NA
2023-10-03 15:12:19.227249,1696360339.2272463,2023-10-03 19:12:19.227,1696360339.227076,300.0,mcity-main,SRM,0,0,0
2023-10-03 15:17:19.019487,1696360639.019483,2023-10-03 19:17:19.19,1696360639.019339,300.0,mcity-main,RemoteBSM,1506,NA,NA
2023-10-03 15:17:19.026640,1696360639.0266378,2023-10-03 19:17:19.26,1696360639.026504,300.0,mcity-main,SSM,0,NA,NA
2023-10-03 15:17:19.026669,1696360639.0266683,2023-10-03 19:17:19.26,1696360639.026555,300.0,mcity-main,MAP,300,NA,NA
2023-10-03 15:17:19.026682,1696360639.0266821,2023-10-03 19:17:19.26,1696360639.026589,300.0,mcity-main,SPaT,3000,NA,NA
2023-10-03 15:17:19.259251,1696360639.2592478,2023-10-03 19:17:19.259,1696360639.259077,300.0,mcity-main,SRM,0,0,0
2023-10-03 15:22:19.017062,1696360939.0170543,2023-10-03 19:22:19.16,1696360939.01686,300.0,mcity-main,RemoteBSM,1506,NA,NA
2023-10-03 15:22:19.031560,1696360939.031558,2023-10-03 19:22:19.31,1696360939.031437,300.0,mcity-main,SSM,0,NA,NA
2023-10-03 15:22:19.031587,1696360939.0315871,2023-10-03 19:22:19.31,1696360939.031487,300.0,mcity-main,MAP,300,NA,NA
2023-10-03 15:22:19.031601,1696360939.0316007,2023-10-03 19:22:19.31,1696360939.031521,300.0,mcity-main,SPaT,3000,NA,NA
2023-10-03 15:22:19.291258,1696360939.2912564,2023-10-03 19:22:19.291,1696360939.291086,300.0,mcity-main,SRM,0,0,0
2023-10-03 15:27:19.036424,1696361239.0364225,2023-10-03 19:27:19.36,1696361239.036296,300.0,mcity-main,SSM,0,NA,NA
2023-10-03 15:27:19.036458,1696361239.036458,2023-10-03 19:27:19.36,1696361239.036353,300.0,mcity-main,MAP,300,NA,NA
2023-10-03 15:27:19.036472,1696361239.036472,2023-10-03 19:27:19.36,1696361239.036388,300.0,mcity-main,SPaT,3000,NA,NA
2023-10-03 15:27:19.162021,1696361239.1620169,2023-10-03 19:27:19.161,1696361239.161849,300.0,mcity-main,RemoteBSM,1506,NA,NA
2023-10-03 15:27:19.323304,1696361239.3233008,2023-10-03 19:27:19.323,1696361239.323095,300.0,mcity-main,SRM,0,0,0
2023-10-03 15:32:19.083116,1696361539.0831122,2023-10-03 19:32:19.83,1696361539.083046,300.0,mcity-main,RemoteBSM,1505,NA,NA
2023-10-03 15:32:19.097403,1696361539.0974004,2023-10-03 19:32:19.97,1696361539.097321,300.0,mcity-main,SSM,0,NA,NA
2023-10-03 15:32:19.097438,1696361539.0974374,2023-10-03 19:32:19.97,1696361539.09737,300.0,mcity-main,MAP,300,NA,NA
2023-10-03 15:32:19.097463,1696361539.0974617,2023-10-03 19:32:19.97,1696361539.097404,300.0,mcity-main,SPaT,2997,NA,NA
2023-10-03 15:32:19.387269,1696361539.3872652,2023-10-03 19:32:19.387,1696361539.38715,300.0,mcity-main,SRM,0,0,0
2023-10-03 15:37:19.058218,1696361839.0582154,2023-10-03 19:37:19.58,1696361839.058066,300.0,mcity-main,RemoteBSM,1506,NA,NA
2023-10-03 15:37:19.082837,1696361839.082835,2023-10-03 19:37:19.82,1696361839.082695,300.0,mcity-main,SSM,0,NA,NA
