log_timestamp_verbose,log_timestamp_posix,timestamp_verbose,timestamp_posix,interval_sec,msg_source,msg_type,msg_count,msg_served,msg_rejected
2023-10-08 15:32:24.099977,1696793544.0999696,2023-10-08 19:32:24.99,1696793544.099586,300.0,mcity-main,SSM,0,NA,NA
2023-10-08 15:32:24.100080,1696793544.100076,2023-10-08 19:32:24.99,1696793544.099941,300.0,mcity-main,MAP,298,NA,NA
2023-10-08 15:32:24.100183,1696793544.100179,2023-10-08 19:32:24.100,1696793544.100063,300.0,mcity-main,SPaT,2985,NA,NA
2023-10-08 15:32:24.128367,1696793544.1283581,2023-10-08 19:32:24.128,1696793544.128177,300.0,mcity-main,RemoteBSM,1366,NA,NA
2023-10-08 15:32:25.065563,1696793545.0655522,2023-10-08 19:32:25.65,1696793545.065115,300.0,mcity-main,SRM,0,0,0
