log_timestamp_verbose,log_timestamp_posix,timestamp_verbose,timestamp_posix,interval_sec,msg_source,msg_type,msg_count,msg_served,msg_rejected
2023-10-03 20:05:29.003742,1696377929.0037398,2023-10-04 00:05:29.3,1696377929.003544,300.0,mcity-main,SSM,0,NA,NA
2023-10-03 20:05:29.003776,1696377929.0037751,2023-10-04 00:05:29.3,1696377929.003692,300.0,mcity-main,MAP,299,NA,NA
2023-10-03 20:05:29.003790,1696377929.0037897,2023-10-04 00:05:29.3,1696377929.003728,300.0,mcity-main,SPaT,2996,NA,NA
2023-10-03 20:05:29.307252,1696377929.3072495,2023-10-04 00:05:29.307,1696377929.307076,300.0,mcity-main,SRM,0,0,0
2023-10-03 20:10:29.016620,1696378229.0166178,2023-10-04 00:10:29.16,1696378229.01655,300.0,mcity-main,SSM,0,NA,NA
2023-10-03 20:10:29.016666,1696378229.0166647,2023-10-04 00:10:29.16,1696378229.016612,300.0,mcity-main,MAP,300,NA,NA
2023-10-03 20:10:29.016716,1696378229.016715,2023-10-04 00:10:29.16,1696378229.016671,300.0,mcity-main,SPaT,3000,NA,NA
2023-10-03 20:10:29.339202,1696378229.3392,2023-10-04 00:10:29.339,1696378229.339074,300.0,mcity-main,SRM,0,0,0
2023-10-03 20:15:29.026606,1696378529.0266035,2023-10-04 00:15:29.26,1696378529.02647,300.0,mcity-main,SSM,0,NA,NA
2023-10-03 20:15:29.026637,1696378529.026637,2023-10-04 00:15:29.26,1696378529.026527,300.0,mcity-main,MAP,300,NA,NA
2023-10-03 20:15:29.026651,1696378529.026651,2023-10-04 00:15:29.26,1696378529.026561,300.0,mcity-main,SPaT,3000,NA,NA
2023-10-03 20:15:29.371221,1696378529.3712177,2023-10-04 00:15:29.371,1696378529.371083,300.0,mcity-main,SRM,0,0,0
2023-10-03 20:20:29.034711,1696378829.0347087,2023-10-04 00:20:29.34,1696378829.034576,300.0,mcity-main,SSM,0,NA,NA
2023-10-03 20:20:29.034745,1696378829.034744,2023-10-04 00:20:29.34,1696378829.034631,300.0,mcity-main,MAP,300,NA,NA
2023-10-03 20:20:29.034758,1696378829.0347579,2023-10-04 00:20:29.34,1696378829.034665,300.0,mcity-main,SPaT,3000,NA,NA
2023-10-03 20:20:29.403224,1696378829.403221,2023-10-04 00:20:29.403,1696378829.403074,300.0,mcity-main,SRM,0,0,0
2023-10-03 20:25:29.038766,1696379129.038764,2023-10-04 00:25:29.38,1696379129.03863,300.0,mcity-main,SSM,0,NA,NA
2023-10-03 20:25:29.038798,1696379129.0387974,2023-10-04 00:25:29.38,1696379129.038689,300.0,mcity-main,MAP,300,NA,NA
2023-10-03 20:25:29.038811,1696379129.038811,2023-10-04 00:25:29.38,1696379129.038723,300.0,mcity-main,SPaT,3000,NA,NA
2023-10-03 20:25:29.435336,1696379129.4353318,2023-10-04 00:25:29.435,1696379129.435117,300.0,mcity-main,SRM,0,0,0
