log_timestamp_verbose,log_timestamp_posix,timestamp_verbose,timestamp_posix,minuteOfYear,msOfMinute,msgCount,regionalID,intersectionID,priorityRequestType,basicVehicleRole,laneID,eTA_Minute,eTA_Second,eTA_Duration,vehicleID,latitude,longitude,elevation,heading,speed
2023-05-09 14:11:54.851075,1683655914.851082,2023-05-09 18:11:54.850,1683655914.850813,46324,22000,5,0,2780,1,16,4,0,4,4,939524096,42.3006235,-83.6985984,23.9,1.0,0.0,
2023-05-09 14:11:58.901776,1683655918.9017844,2023-05-09 18:11:58.901,1683655918.901524,46324,26000,7,0,2780,2,16,4,0,4,4,939524096,42.3006235,-83.6985984,23.9,1.0,0.0,
2023-05-09 14:12:02.955264,1683655922.9552712,2023-05-09 18:12:02.955,1683655922.955058,46324,30000,9,0,2780,2,16,4,0,4,4,939524096,42.3006235,-83.6985984,23.9,1.0,0.0,
2023-05-09 14:12:07.004525,1683655927.0045362,2023-05-09 18:12:07.4,1683655927.004375,46324,34000,11,0,2780,2,16,4,0,4,4,939524096,42.3006235,-83.6985984,23.9,1.0,0.0,
2023-05-09 14:12:11.055360,1683655931.0553713,2023-05-09 18:12:11.55,1683655931.055112,46324,38000,13,0,2780,2,16,4,0,4,4,939524096,42.3006243,-83.6985984,23.9,1.0,0.0,
2023-05-09 14:12:15.107217,1683655935.107225,2023-05-09 18:12:15.107,1683655935.107025,46324,42000,15,0,2780,3,16,1,0,2,4,939524096,42.3007965,-83.6985924,23.9,1.0,8.0,
2023-05-09 14:12:22.902979,1683655942.902998,2023-05-09 18:12:22.902,1683655942.902726,46324,50000,17,0,2780,1,16,4,0,7,4,939524096,42.3001962,-83.6985865,23.9,359.0,9.0,
2023-05-09 14:12:26.954387,1683655946.9543955,2023-05-09 18:12:26.954,1683655946.954154,46324,54000,19,0,2780,2,16,4,0,4,4,939524096,42.300502,-83.6986019,23.9,0.0,8.0,
2023-05-09 14:12:31.008982,1683655951.008992,2023-05-09 18:12:31.8,1683655951.008724,46324,58000,21,0,2780,2,16,4,0,4,4,939524096,42.3006231,-83.6985984,23.9,1.0,0.0,
2023-05-09 14:12:35.057659,1683655955.0576823,2023-05-09 18:12:35.57,1683655955.057473,46325,2000,23,0,2780,2,16,4,0,4,4,939524096,42.3006235,-83.6985984,23.9,1.0,0.0,
