log_timestamp_verbose,log_timestamp_posix,timestamp_verbose,timestamp_posix,interval_sec,msg_source,msg_type,msg_count,msg_served,msg_rejected
2023-05-10 14:40:00.033559,1683744000.033557,2023-05-10 18:40:00.33,1683744000.033344,300.0,mcity-main,SSM,227,NA,NA
2023-05-10 14:40:00.033591,1683744000.0335903,2023-05-10 18:40:00.33,1683744000.033479,300.0,mcity-main,MAP,299,NA,NA
2023-05-10 14:40:00.033604,1683744000.033604,2023-05-10 18:40:00.33,1683744000.033515,300.0,mcity-main,SPaT,2998,NA,NA
2023-05-10 14:40:00.311070,1683744000.311063,2023-05-10 18:40:00.310,1683744000.310827,300.0,mcity-main,SRM,70,70,0
2023-05-10 14:40:03.352729,1683744003.3527288,2023-05-10 18:40:03.352,1683744003.352566,300.0,mcity-main,RemoteBSM,0,NA,NA
