log_timestamp_verbose,log_timestamp_posix,timestamp_verbose,timestamp_posix,minuteOfYear,msOfMinute,msgCount,regionalID,intersectionID,priorityRequestType,basicVehicleRole,laneID,eTA_Minute,eTA_Second,eTA_Duration,vehicleID,latitude,longitude,elevation,heading,speed
2023-05-10 14:35:04.317674,1683743704.3176856,2023-05-10 18:35:04.317,1683743704.317509,185435,2000,13,0,2780,2,16,4,0,4,4,939524096,42.3006235,-83.6985984,23.9,1.0,0.0,
2023-05-10 14:35:08.364622,1683743708.364635,2023-05-10 18:35:08.364,1683743708.364353,185435,7000,15,0,2780,2,16,4,0,4,4,939524096,42.3006235,-83.6985984,23.9,1.0,0.0,
2023-05-10 14:35:12.410930,1683743712.4109392,2023-05-10 18:35:12.410,1683743712.410735,185435,11000,17,0,2780,2,16,4,0,4,4,939524096,42.3006235,-83.6985984,23.9,1.0,0.0,
2023-05-10 14:35:16.468451,1683743716.4684584,2023-05-10 18:35:16.468,1683743716.468254,185435,15000,19,0,2780,2,16,4,0,4,4,939524096,42.3006235,-83.6985984,23.9,1.0,0.0,
2023-05-10 14:35:20.514830,1683743720.5148394,2023-05-10 18:35:20.514,1683743720.514593,185435,19000,21,0,2780,2,16,4,0,4,4,939524096,42.3006235,-83.6985984,23.9,1.0,0.0,
2023-05-10 14:35:24.569377,1683743724.5693836,2023-05-10 18:35:24.569,1683743724.569163,185435,23000,23,0,2780,2,16,4,0,4,4,939524096,42.3006235,-83.6985984,23.9,1.0,0.0,
2023-05-10 14:35:28.618631,1683743728.6186397,2023-05-10 18:35:28.618,1683743728.618405,185435,27000,25,0,2780,2,16,4,0,4,4,939524096,42.3006235,-83.6985984,23.9,1.0,0.0,
2023-05-10 14:35:32.670586,1683743732.6705978,2023-05-10 18:35:32.670,1683743732.67035,185435,31000,27,0,2780,2,16,4,0,4,4,939524096,42.3006235,-83.6985984,23.9,1.0,0.0,
2023-05-10 14:35:36.718948,1683743736.7189584,2023-05-10 18:35:36.718,1683743736.71865,185435,35000,29,0,2780,2,16,4,0,4,4,939524096,42.3006235,-83.6985984,23.9,1.0,0.0,
2023-05-10 14:35:40.768715,1683743740.7687218,2023-05-10 18:35:40.768,1683743740.768528,185435,39000,31,0,2780,2,16,4,0,4,4,939524096,42.3006235,-83.6985984,23.9,1.0,0.0,
