log_timestamp_verbose,log_timestamp_posix,timestamp_verbose,timestamp_posix,regionalId,intersectionId,msgCount,moy,msom,v1_currState,v1_minEndTime,v1_maxEndTime,v1_elapsedTime,v2_currState,v2_minEndTime,v2_maxEndTime,v2_elapsedTime,v3_currState,v3_minEndTime,v3_maxEndTime,v3_elapsedTime,v4_currState,v4_minEndTime,v4_maxEndTime,v4_elapsedTime,v5_currState,v5_minEndTime,v5_maxEndTime,v5_elapsedTime,v6_currState,v6_minEndTime,v6_maxEndTime,v6_elapsedTime,v7_currState,v7_minEndTime,v7_maxEndTime,v7_elapsedTime,v8_currState,v8_minEndTime,v8_maxEndTime,v8_elapsedTime,p1_currState,p1_minEndTime,p1_maxEndTime,p1_elapsedTime,p2_currState,p2_minEndTime,p2_maxEndTime,p2_elapsedTime,p3_currState,p3_minEndTime,p3_maxEndTime,p3_elapsedTime,p4_currState,p4_minEndTime,p4_maxEndTime,p4_elapsedTime,p5_currState,p5_minEndTime,p5_maxEndTime,p5_elapsedTime,p6_currState,p6_minEndTime,p6_maxEndTime,p6_elapsedTime,p7_currState,p7_minEndTime,p7_maxEndTime,p7_elapsedTime,p8_currState,p8_minEndTime,p8_maxEndTime,p8_elapsedTime
2023-07-19 15:29:43.413774,1689794983.413781,2023-07-19 15:29:43.413361,1689794983.413366,0,2780,1,287729,43412,red,381,381,0.0,red,681,681,0.0,permissive_yellow,331,331,0.0,green,331,331,0.0,red,381,381,0.0,red,681,681,0.0,permissive_yellow,331,331,0.0,green,331,331,0.0,do_not_walk,0,0,0.0,do_not_walk,681,681,0.0,do_not_walk,0,0,0.0,do_not_walk,681,681,0.0,do_not_walk,0,0,0.0,do_not_walk,681,681,0.0,do_not_walk,0,0,0.0,do_not_walk,681,681,0.0,
2023-07-19 15:29:43.513646,1689794983.5136507,2023-07-19 15:29:43.513269,1689794983.513273,0,2780,2,287729,43512,red,380,380,1,red,680,680,1,permissive_yellow,330,330,1,green,330,330,1,red,380,380,1,red,680,680,1,permissive_yellow,330,330,1,green,330,330,1,do_not_walk,0,0,1,do_not_walk,680,680,1,do_not_walk,0,0,1,do_not_walk,680,680,1,do_not_walk,0,0,1,do_not_walk,680,680,1,do_not_walk,0,0,1,do_not_walk,680,680,1,
2023-07-19 15:29:43.613556,1689794983.6135604,2023-07-19 15:29:43.613185,1689794983.613188,0,2780,3,287729,43612,red,379,379,2,red,679,679,2,permissive_yellow,329,329,2,green,329,329,2,red,379,379,2,red,679,679,2,permissive_yellow,329,329,2,green,329,329,2,do_not_walk,0,0,2,do_not_walk,679,679,2,do_not_walk,0,0,2,do_not_walk,679,679,2,do_not_walk,0,0,2,do_not_walk,679,679,2,do_not_walk,0,0,2,do_not_walk,679,679,2,
2023-07-19 15:29:43.713597,1689794983.7136023,2023-07-19 15:29:43.713218,1689794983.713222,0,2780,4,287729,43712,red,378,378,3,red,678,678,3,permissive_yellow,328,328,3,green,328,328,3,red,378,378,3,red,678,678,3,permissive_yellow,328,328,3,green,328,328,3,do_not_walk,0,0,3,do_not_walk,678,678,3,do_not_walk,0,0,3,do_not_walk,678,678,3,do_not_walk,0,0,3,do_not_walk,678,678,3,do_not_walk,0,0,3,do_not_walk,678,678,3,
2023-07-19 15:29:43.813602,1689794983.8136075,2023-07-19 15:29:43.813225,1689794983.813229,0,2780,5,287729,43812,red,377,377,4,red,677,677,4,permissive_yellow,327,327,4,green,327,327,4,red,377,377,4,red,677,677,4,permissive_yellow,327,327,4,green,327,327,4,do_not_walk,0,0,4,do_not_walk,677,677,4,do_not_walk,0,0,4,do_not_walk,677,677,4,do_not_walk,0,0,4,do_not_walk,677,677,4,do_not_walk,0,0,4,do_not_walk,677,677,4,
2023-07-19 15:29:43.914575,1689794983.91458,2023-07-19 15:29:43.914204,1689794983.914208,0,2780,6,287729,43913,red,376,376,5,red,676,676,5,permissive_yellow,326,326,5,green,326,326,5,red,376,376,5,red,676,676,5,permissive_yellow,326,326,5,green,326,326,5,do_not_walk,0,0,5,do_not_walk,676,676,5,do_not_walk,0,0,5,do_not_walk,676,676,5,do_not_walk,0,0,5,do_not_walk,676,676,5,do_not_walk,0,0,5,do_not_walk,676,676,5,
2023-07-19 15:29:44.013862,1689794984.0138695,2023-07-19 15:29:44.013421,1689794984.013426,0,2780,7,287729,44012,red,375,375,6,red,675,675,6,permissive_yellow,325,325,6,green,325,325,6,red,375,375,6,red,675,675,6,permissive_yellow,325,325,6,green,325,325,6,do_not_walk,0,0,6,do_not_walk,675,675,6,do_not_walk,0,0,6,do_not_walk,675,675,6,do_not_walk,0,0,6,do_not_walk,675,675,6,do_not_walk,0,0,6,do_not_walk,675,675,6,
2023-07-19 15:29:44.113822,1689794984.1138296,2023-07-19 15:29:44.113361,1689794984.113366,0,2780,8,287729,44112,red,374,374,7,red,674,674,7,permissive_yellow,324,324,7,green,324,324,7,red,374,374,7,red,674,674,7,permissive_yellow,324,324,7,green,324,324,7,do_not_walk,0,0,7,do_not_walk,674,674,7,do_not_walk,0,0,7,do_not_walk,674,674,7,do_not_walk,0,0,7,do_not_walk,674,674,7,do_not_walk,0,0,7,do_not_walk,674,674,7,
2023-07-19 15:29:44.213979,1689794984.2139888,2023-07-19 15:29:44.213522,1689794984.213527,0,2780,9,287729,44212,red,373,373,8,red,673,673,8,permissive_yellow,323,323,8,green,323,323,8,red,373,373,8,red,673,673,8,permissive_yellow,323,323,8,green,323,323,8,do_not_walk,0,0,8,do_not_walk,673,673,8,do_not_walk,0,0,8,do_not_walk,673,673,8,do_not_walk,0,0,8,do_not_walk,673,673,8,do_not_walk,0,0,8,do_not_walk,673,673,8,
2023-07-19 15:29:44.314095,1689794984.3141046,2023-07-19 15:29:44.313569,1689794984.313574,0,2780,10,287729,44312,red,372,372,9,red,672,672,9,permissive_yellow,322,322,9,green,322,322,9,red,372,372,9,red,672,672,9,permissive_yellow,322,322,9,green,322,322,9,do_not_walk,0,0,9,do_not_walk,672,672,9,do_not_walk,0,0,9,do_not_walk,672,672,9,do_not_walk,0,0,9,do_not_walk,672,672,9,do_not_walk,0,0,9,do_not_walk,672,672,9,
