log_timestamp_verbose,log_timestamp_posix,timestamp_verbose,timestamp_posix,interval_sec,msg_source,msg_type,msg_count,msg_served,msg_rejected
2023-06-14 10:51:51.056139,1686754311.0561373,2023-06-14 14:51:51.55,1686754311.055933,300.0,mcity-main,SSM,221,NA,NA
2023-06-14 10:51:51.056172,1686754311.056172,2023-06-14 14:51:51.56,1686754311.056054,300.0,mcity-main,MAP,299,NA,NA
2023-06-14 10:51:51.056185,1686754311.0561848,2023-06-14 14:51:51.56,1686754311.05609,300.0,mcity-main,SPaT,2998,NA,NA
2023-06-14 10:51:51.181515,1686754311.181515,2023-06-14 14:51:51.181,1686754311.181399,300.0,mcity-main,RemoteBSM,0,NA,NA
2023-06-14 10:51:52.197047,1686754312.197042,2023-06-14 14:51:52.196,1686754312.196832,300.0,mcity-main,SRM,63,63,0
2023-06-14 10:56:51.065685,1686754611.0656822,2023-06-14 14:56:51.65,1686754611.065562,300.0,mcity-main,SSM,285,NA,NA
2023-06-14 10:56:51.065715,1686754611.0657141,2023-06-14 14:56:51.65,1686754611.065617,300.0,mcity-main,MAP,300,NA,NA
2023-06-14 10:56:51.065728,1686754611.065728,2023-06-14 14:56:51.65,1686754611.065652,300.0,mcity-main,SPaT,3000,NA,NA
2023-06-14 10:56:53.025025,1686754613.0250208,2023-06-14 14:56:53.24,1686754613.024903,300.0,mcity-main,SRM,71,71,0
2023-06-14 10:56:55.018502,1686754615.0185006,2023-06-14 14:56:55.18,1686754615.018404,300.0,mcity-main,RemoteBSM,0,NA,NA
