log_timestamp_verbose,log_timestamp_posix,timestamp_verbose,timestamp_posix,interval_sec,msg_source,msg_type,msg_count,msg_served,msg_rejected
2023-07-19 16:52:30.090221,1689799950.0902095,2023-07-19 20:52:30.87,1689799950.087691,300.0,mcity-main,RemoteBSM,2354,NA,NA
2023-07-19 16:52:30.094107,1689799950.0941045,2023-07-19 20:52:30.93,1689799950.093354,300.0,mcity-main,SSM,0,NA,NA
2023-07-19 16:52:30.094140,1689799950.0941358,2023-07-19 20:52:30.94,1689799950.094036,300.0,mcity-main,MAP,299,NA,NA
2023-07-19 16:52:30.094154,1689799950.0941534,2023-07-19 20:52:30.94,1689799950.094076,300.0,mcity-main,SPaT,2993,NA,NA
2023-07-19 16:52:30.716888,1689799950.7168853,2023-07-19 20:52:30.715,1689799950.715652,300.0,mcity-main,SRM,0,0,0
2023-07-19 16:57:30.097674,1689800250.0976737,2023-07-19 20:57:30.97,1689800250.097599,300.0,mcity-main,SSM,0,NA,NA
2023-07-19 16:57:30.100816,1689800250.1008148,2023-07-19 20:57:30.97,1689800250.097653,300.0,mcity-main,MAP,300,NA,NA
2023-07-19 16:57:30.100837,1689800250.1008363,2023-07-19 20:57:30.97,1689800250.097688,300.0,mcity-main,SPaT,3000,NA,NA
2023-07-19 16:57:30.198324,1689800250.1983232,2023-07-19 20:57:30.198,1689800250.19826,300.0,mcity-main,RemoteBSM,1507,NA,NA
2023-07-19 16:57:30.749318,1689800250.749315,2023-07-19 20:57:30.747,1689800250.747537,300.0,mcity-main,SRM,0,0,0
2023-07-19 17:02:30.002735,1689800550.002733,2023-07-19 21:02:30.2,1689800550.002595,300.0,mcity-main,SSM,0,NA,NA
2023-07-19 17:02:30.006022,1689800550.00602,2023-07-19 21:02:30.2,1689800550.002653,300.0,mcity-main,MAP,300,NA,NA
2023-07-19 17:02:30.006042,1689800550.006042,2023-07-19 21:02:30.2,1689800550.002688,300.0,mcity-main,SPaT,2999,NA,NA
2023-07-19 17:02:30.015686,1689800550.015684,2023-07-19 21:02:30.15,1689800550.015579,300.0,mcity-main,RemoteBSM,1505,NA,NA
2023-07-19 17:02:30.781592,1689800550.7815862,2023-07-19 21:02:30.779,1689800550.779531,300.0,mcity-main,SRM,0,0,0
2023-07-19 17:07:30.007496,1689800850.0074944,2023-07-19 21:07:30.7,1689800850.007388,300.0,mcity-main,SSM,0,NA,NA
2023-07-19 17:07:30.007811,1689800850.00781,2023-07-19 21:07:30.7,1689800850.007495,300.0,mcity-main,MAP,300,NA,NA
2023-07-19 17:07:30.007834,1689800850.0078335,2023-07-19 21:07:30.7,1689800850.00755,300.0,mcity-main,SPaT,3000,NA,NA
2023-07-19 17:07:30.043008,1689800850.0430048,2023-07-19 21:07:30.42,1689800850.04282,300.0,mcity-main,RemoteBSM,1507,NA,NA
2023-07-19 17:07:30.812414,1689800850.8124106,2023-07-19 21:07:30.811,1689800850.811628,300.0,mcity-main,SRM,0,0,0
2023-07-19 17:12:30.011575,1689801150.011573,2023-07-19 21:12:30.11,1689801150.011504,300.0,mcity-main,SSM,0,NA,NA
2023-07-19 17:12:30.021501,1689801150.0214999,2023-07-19 21:12:30.11,1689801150.011564,300.0,mcity-main,MAP,300,NA,NA
2023-07-19 17:12:30.021521,1689801150.0215209,2023-07-19 21:12:30.11,1689801150.011618,300.0,mcity-main,SPaT,3000,NA,NA
2023-07-19 17:12:30.240665,1689801150.240661,2023-07-19 21:12:30.240,1689801150.240531,300.0,mcity-main,RemoteBSM,1491,NA,NA
2023-07-19 17:12:30.845782,1689801150.8457794,2023-07-19 21:12:30.843,1689801150.843553,300.0,mcity-main,SRM,0,0,0
2023-07-19 17:17:30.016629,1689801450.0166264,2023-07-19 21:17:30.16,1689801450.016503,300.0,mcity-main,SSM,0,NA,NA
2023-07-19 17:17:30.026531,1689801450.0265296,2023-07-19 21:17:30.16,1689801450.01656,300.0,mcity-main,MAP,300,NA,NA
2023-07-19 17:17:30.026550,1689801450.0265503,2023-07-19 21:17:30.16,1689801450.016594,300.0,mcity-main,SPaT,3000,NA,NA
2023-07-19 17:17:30.053447,1689801450.0534434,2023-07-19 21:17:30.53,1689801450.053362,300.0,mcity-main,RemoteBSM,1507,NA,NA
2023-07-19 17:17:30.885949,1689801450.885942,2023-07-19 21:17:30.885,1689801450.885489,300.0,mcity-main,SRM,0,0,0
2023-07-19 17:22:30.020121,1689801750.020119,2023-07-19 21:22:30.19,1689801750.01997,300.0,mcity-main,SSM,0,NA,NA
2023-07-19 17:22:30.026529,1689801750.0265276,2023-07-19 21:22:30.20,1689801750.020052,300.0,mcity-main,MAP,300,NA,NA
